# Layer 2 — designable. Calibrated against in-game feel and lab observation.
# These are NOT real physics constants — they're rolling-resistance values tuned
# for gameplay. Re-tuned in controls_c_fix (2026-05-05).
# See Docs/Physics/CALIBRATION_METHODOLOGY.md.
surface,restitution,tangent_friction,rolling_resistance,stop_speed_mps,notes
Fairway,0.50,0.55,0.18,0.10,closely-mown grass baseline
Green,0.40,0.75,0.12,0.05,checks quickly; low roll
GreenCollar,0.45,0.65,0.15,0.08,between fairway and green
Semirough,0.38,0.70,0.28,0.15,mower-height intermediate
Rough,0.25,0.82,0.45,0.22,ball plugs; high resistance
Tee,0.55,0.45,0.15,0.10,tight mown
Sand,0.15,0.85,0.70,0.25,bunker; heavy damping
BunkerLip,0.20,0.80,0.55,0.20,lip; redirects downward
CartPath,0.70,0.18,0.30,0.08,very bouncy; very low friction; PLAYABILITY-CALIBRATED (no published academic value for golf-ball-on-concrete); k bumped from 0.06 (which produced 100m+ infinite roll-out in C diagnosis Shot 2) to 0.30 (which stops a 5 m/s post-bounce ball within ~16 m); also raises per-step resistance above the fp16.16 LSB floor so the ball can actually slow at sub-stopSpeed velocities
Water,0.00,1.00,1.00,0.00,ball stops immediately; marked hazard
OOB,0.20,0.80,0.50,0.20,treated like rough for bounce; scoring handles OOB
